> py .\solve.py
Level = 1, Scancode = 0x4b (K), bignum_96f = 0x4b
Level = 2, Scancode = 0x50 (P), bignum_96f = 0x4b1310
Level = 3, Scancode = 0x4b (K), bignum_96f = 0x4b2589b1d6
Level = 4, Scancode = 0x4d (M), bignum_96f = 0x4b3807eeb8c4dd
Level = 5, Scancode = 0x50 (P), bignum_96f = 0x4b4a8ab8ac845573e6
Level = 6, Scancode = 0x48 (H), bignum_96f = 0x4b5d1210cff6ca04ed8765
Level = 7, Scancode = 0x50 (P), bignum_96f = 0x4b6f9df84219f7c0a4bdd953f6
Level = 8, Scancode = 0x4d (M), bignum_96f = 0x4b822e7022323c249d26640c71abf2
Level = 9, Scancode = 0x4d (M), bignum_96f = 0x94c3798fcaa6816a29107f10bbeb5343
Level = 10, Scancode = 0x48 (H), bignum_96f = 0x15aab509606402309a200109922c807a
Level = 11, Scancode = 0x4d (M), bignum_96f = 0xa0bedb2bacd2415eee9d387796da150
Level = 12, Scancode = 0x4d (M), bignum_96f = 0x66a239c91c91d04f9f1287c4834ab647
Level = 13, Scancode = 0x50 (P), bignum_96f = 0x7bb5550fd831e2aaad53eca705a9df60
Level = 14, Scancode = 0x4d (M), bignum_96f = 0xc6afc71816f17554944e42c4442dfcd4
Level = 15, Scancode = 0x50 (P), bignum_96f = 0xac5a15df1ac0741ec206b27ac4253cb0
Level = 16, Scancode = 0x4b (K), bignum_96f = 0x800a7ca8097b55987220b05b81d9f41f
Level = 17, Scancode = 0x48 (H), bignum_96f = 0xff3cb6d5aaf282a4c666e85ee8c218b8
Level = 18, Scancode = 0x4d (M), bignum_96f = 0x86c6a9879452ecf3bbb2181d607c1aac
Level = 19, Scancode = 0x48 (H), bignum_96f = 0xd46b4cb06d5c0bad48f14fb6d9369600
Level = 20, Scancode = 0x4b (K), bignum_96f = 0x93184cc6f5542896431977360a6eeff7
Level = 21, Scancode = 0x4b (K), bignum_96f = 0x7fc1da4a884c4013fa7a60bb8144140b
Level = 22, Scancode = 0x4d (M), bignum_96f = 0x4aff40a3cad7bf6504d94f68e3cbf544
Level = 23, Scancode = 0x4b (K), bignum_96f = 0xb574b326aa7d1eb580e36e9c04756296
Level = 24, Scancode = 0x4b (K), bignum_96f = 0x5adec10113800f8e26943cda7b794a0f
Level = 25, Scancode = 0x48 (H), bignum_96f = 0x1dd292c3dc11fa8fbb55753dace8411e
Level = 26, Scancode = 0x4b (K), bignum_96f = 0xe995fa4522fc64b48f458715ce460e1a
Level = 27, Scancode = 0x50 (P), bignum_96f = 0x762dba0000d157b4c9320ca3d157806e
Level = 28, Scancode = 0x50 (P), bignum_96f = 0xcf40c6d18b395eaf8ff4eda804f6a36a
Level = 29, Scancode = 0x4d (M), bignum_96f = 0xc7c278caa1cddd295aee814fdc1c3fbb
Level = 30, Scancode = 0x4b (K), bignum_96f = 0xa1a65babaed2c81be201aec36aaeb7f5
Level = 31, Scancode = 0x4d (M), bignum_96f = 0x239c3e12cdfb20de4d2d6cc5f8f44e88
Level = 32, Scancode = 0x50 (P), bignum_96f = 0x186149bd1ab63e26af3bdac92a75d05
Level = 33, Scancode = 0x50 (P), bignum_96f = 0x749ae403fd0fffac0fa8401f7434ee18
Level = 34, Scancode = 0x4b (K), bignum_96f = 0x96221a0b469bfb001a873bf2871ea210
Level = 35, Scancode = 0x50 (P), bignum_96f = 0xc6faf625b62df8dc33a47cde299ec68
Level = 36, Scancode = 0x48 (H), bignum_96f = 0xbede84975ce2c71d53258e44b0493858
Level = 37, Scancode = 0x4d (M), bignum_96f = 0x7d59fe22a2ec535d0482b3309a5ce8b5
Level = 38, Scancode = 0x50 (P), bignum_96f = 0xd7482d726b858866cf5ab352e5924fe8
Level = 39, Scancode = 0x48 (H), bignum_96f = 0x28359aadfe4360a7baa506f8cee9b5bd
Level = 40, Scancode = 0x48 (H), bignum_96f = 0x7fdf0f14f33c83ebf5958624a140c570
Level = 41, Scancode = 0x4b (K), bignum_96f = 0x86f9a9645fd06ca6f5f0a4447460a2c8
Level = 42, Scancode = 0x50 (P), bignum_96f = 0xe0d50f8400f1b3072a7ce13946901bc0
Level = 43, Scancode = 0x4b (K), bignum_96f = 0x63f2d26dee82394055f4b3a87936e113
Level = 44, Scancode = 0x48 (H), bignum_96f = 0x6b2fb78feb4c6cc9dae0afacb59470c8
Level = 45, Scancode = 0x48 (H), bignum_96f = 0x184e17b75498a08d8cf7f115204fce9b
Level = 46, Scancode = 0x50 (P), bignum_96f = 0x12ef2ab6721d0fcda2197482c23ee5d8
Level = 47, Scancode = 0x48 (H), bignum_96f = 0xd391f50324f485b458c66e6cb3529e23
Level = 48, Scancode = 0x4d (M), bignum_96f = 0x5ee70ba9de140284741e012bf77f8e5
Level = 49, Scancode = 0x4d (M), bignum_96f = 0xe6685bce1a97112b6948e415176b4ef0
Level = 50, Scancode = 0x48 (H), bignum_96f = 0xf7cb24f9c58a2f7cd05389c12587bed
Level = 51, Scancode = 0x4d (M), bignum_96f = 0x81ff7df01cc7e800ace500c0ffb38e7d
Level = 52, Scancode = 0x4d (M), bignum_96f = 0x7bd01adefd32c50f8d1c2f327bad203a
Level = 53, Scancode = 0x50 (P), bignum_96f = 0x93159a13148e0befe92219198fd4fe0d
Level = 54, Scancode = 0x48 (H), bignum_96f = 0xcc63ff401ae4d92c787dbd1f63779542
Level = 55, Scancode = 0x50 (P), bignum_96f = 0x4bdbebab777dea6f6410ee310fafcb9d
Level = 56, Scancode = 0x4d (M), bignum_96f = 0x96ca76b0526c157a8e5badc2a7e02c4f
Level = 57, Scancode = 0x4d (M), bignum_96f = 0x928387d05e13d784b6526ac77c79f86a
Level = 58, Scancode = 0x4d (M), bignum_96f = 0x962eca5afe66bffb490fc3919a6e335c
Level = 59, Scancode = 0x4d (M), bignum_96f = 0xbfdecacb5b4487e6be72bb43347ab537
Level = 60, Scancode = 0x4b (K), bignum_96f = 0x29f434ffdc4303b997f4a049f69aa67
Level = 61, Scancode = 0x4b (K), bignum_96f = 0xe8818e73a383782a1057d68ce5680182
Level = 62, Scancode = 0x4d (M), bignum_96f = 0xc655b1f8b584a2b1dc2ab214761a7174
Level = 63, Scancode = 0x4b (K), bignum_96f = 0x810f81b94e55e5efe096492381f5fe4d
Level = 64, Scancode = 0x4b (K), bignum_96f = 0x448a3af02d13769e8e1f81b2f9d6a7ff
Level = 65, Scancode = 0x48 (H), bignum_96f = 0x18f4ae2e8e68bf247b73e4e223d26b15
Level = 66, Scancode = 0x4d (M), bignum_96f = 0xd2656bddcaeb856e466777793bdd6dcc
Level = 67, Scancode = 0x48 (H), bignum_96f = 0x32d3568075641c8acaefa2b3294a191d
